,1,2,3,4,5,6,7,8,9
name,T2465,T1418,T1465,T1528_2,T2056V3,T2420_2,T2439_1,T2390,T2635V4
pr_T2_mm,48.4,11.5,12.7,17.1,45.1,43.1,42.2,47.6,48.6
pr_T5_mm,72.1,30.4,28.6,38.2,79.3,63.9,61,70.5,76.5
pr_T10_mm,88.8,49.5,42.5,54,102,77.6,71.9,89.9,92.7
pr_T25_mm,106,83.4,64.2,76.1,130.6,94.9,89.3,103.5,118.7
pr_T50_mm,114.2,117.3,83.4,94.2,151.9,107.7,101,112.7,136.3
pr_T100_mm,130.7,160.1,105.5,113.6,173,120.5,112.6,128.2,153.8
pr_T200_mm,147.7,213.3,130.6,134.7,194,133.2,124.2,144.2,171.4
outlet_lat,,,,,,,,,
outlet_lon,,,,,,,,,
centroid_lat,-32.59246278,-28.26339855,-28.47548481,-28.83057749,-31.13477054,-32.35374131,-32.5434679,-32.19312606,-33.07600374
centroid_lon,-70.99435468,-70.43854562,-70.5507521,-70.66604586,-71.23301697,-70.70676428,-70.86734047,-70.78272839,-70.80301101
area_km2,80.78,37.99,46.5,177.99,114.9,567.4,380.17,658.1,1141.3
meanslope_1,0.48,0.29,0.39,0.3,0.16,0.41,0.41,0.41,0.27
mriverlen_km,16.34,12.31,11.8,29.01,15.7,69.133,37.94,75.98,51
out2centroidlen_km,6.11,7.65,5.1,10.11,7.9,27.65,9.88,29.56,22.33
hmax_m,2321,1969,2252,2570,1546,3997,2322,3680,2617
hmin_m,524,714,1027,789,781,267,323,323,498
hmed_m,1422.5,1341.5,1639.5,1429,973,1658,1157,3357,2119
runoffcoef_1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
SHyeto,G1_Espildora;G2_Espildora;G3_Espildora,G1_Espildora;G2_Espildora;G3_Espildora,G1_Espildora;G2_Espildora;G3_Espildora,G1_Espildora;G2_Espildora;G3_Espildora,G1_Espildora;G2_Espildora;G3_Espildora,G1_Espildora;G2_Espildora;G3_Espildora,G1_Espildora;G2_Espildora;G3_Espildora,G1_Espildora;G2_Espildora;G3_Espildora,G1_Espildora;G2_Espildora;G3_Espildora
SUnitHydro,Arteaga&Benitez,Arteaga&Benitez,Arteaga&Benitez,Arteaga&Benitez,Arteaga&Benitez,Arteaga&Benitez,Arteaga&Benitez,Arteaga&Benitez,Arteaga&Benitez
curvenumber_1,74.01,83.2,82.5,77.4,73.5,75.9,73.8,75.7,73.7
moisturecondition_1,normal,dry,dry,dry,dry,normal,normal,normal,normal
