,1,2,3,4,5,6
name,Abr,May,Jun,Jul,Ago,Sep
pr_T2_mm,15.78213312,44.5055104,60.12167785,50.11069865,46.99526003,24.65879351
pr_T5_mm,38.51391857,94.52648258,101.899722,93.5811898,89.99640308,54.960757
pr_T10_mm,62.96526118,134.5628576,129.6399317,123.9955802,120.82241,80.37370556
pr_T20_mm,95.38611619,177.2326891,155.7187803,153.4474639,150.8763552,108.277369
outlet_x,261135.7025,261135.7025,261135.7025,261135.7025,261135.7025,261135.7025
outlet_y,6343358.557,6343358.557,6343358.557,6343358.557,6343358.557,6343358.557
centroid_x,277197.2637,277197.2637,277197.2637,277197.2637,277197.2637,277197.2637
centroid_y,6334391.254,6334391.254,6334391.254,6334391.254,6334391.254,6334391.254
area_km2,424.2990323,424.2990323,424.2990323,424.2990323,424.2990323,424.2990323
mriverlen_km,57.97026814,57.97026814,57.97026814,57.97026814,57.97026814,57.97026814
out2centroidlen_km,18.3952784,18.3952784,18.3952784,18.3952784,18.3952784,18.3952784
meanslope_1,0.119975529,0.119975529,0.119975529,0.119975529,0.119975529,0.119975529
hmin_m,0,0,0,0,0,0
hmax_m,1318,1318,1318,1318,1318,1318
hmean_m,319.9178467,319.9178467,319.9178467,319.9178467,319.9178467,319.9178467
curvenumber_1,75.2712425,75.2712425,75.2712425,75.2712425,75.2712425,75.2712425
moisturecondition_1,normal,normal,normal,normal,normal,normal
runoffcoef_1,0.5,0.5,0.5,0.5,0.5,0.5
SHyeto,G1_Espildora;G2_Espildora;G3_Espildora,G1_Espildora;G2_Espildora;G3_Espildora,G1_Espildora;G2_Espildora;G3_Espildora,G1_Espildora;G2_Espildora;G3_Espildora,G1_Espildora;G2_Espildora;G3_Espildora,G1_Espildora;G2_Espildora;G3_Espildora
SUnitHydro,Arteaga&Benitez,Arteaga&Benitez,Arteaga&Benitez,Arteaga&Benitez,Arteaga&Benitez,Arteaga&Benitez
fCN98_1,6.36E-06,6.36E-06,6.36E-06,6.36E-06,6.36E-06,6.36E-06
fCN94_1,1.48E-05,1.48E-05,1.48E-05,1.48E-05,1.48E-05,1.48E-05
fCN72_1,2.76E-05,2.76E-05,2.76E-05,2.76E-05,2.76E-05,2.76E-05
fCN58_1,4.03E-05,4.03E-05,4.03E-05,4.03E-05,4.03E-05,4.03E-05
fCN83_1,9.55E-05,9.55E-05,9.55E-05,9.55E-05,9.55E-05,9.55E-05
fCN90_1,0.00012304,0.00012304,0.00012304,0.00012304,0.00012304,0.00012304
fCN78_1,0.000131526,0.000131526,0.000131526,0.000131526,0.000131526,0.000131526
fCN68_1,0.000154861,0.000154861,0.000154861,0.000154861,0.000154861,0.000154861
fCN91_1,0.000163347,0.000163347,0.000163347,0.000163347,0.000163347,0.000163347
fCN89_1,0.000216381,0.000216381,0.000216381,0.000216381,0.000216381,0.000216381
fCN100_1,0.001253739,0.001253739,0.001253739,0.001253739,0.001253739,0.001253739
fCN84_1,0.001319502,0.001319502,0.001319502,0.001319502,0.001319502,0.001319502
fCN55_1,0.001451028,0.001451028,0.001451028,0.001451028,0.001451028,0.001451028
fCN69_1,0.001569825,0.001569825,0.001569825,0.001569825,0.001569825,0.001569825
fCN71_1,0.001796814,0.001796814,0.001796814,0.001796814,0.001796814,0.001796814
fCN88_1,0.002662339,0.002662339,0.002662339,0.002662339,0.002662339,0.002662339
fCN77_1,0.003451495,0.003451495,0.003451495,0.003451495,0.003451495,0.003451495
fCN85_1,0.004418846,0.004418846,0.004418846,0.004418846,0.004418846,0.004418846
fCN61_1,0.004705233,0.004705233,0.004705233,0.004705233,0.004705233,0.004705233
fCN93_1,0.006605995,0.006605995,0.006605995,0.006605995,0.006605995,0.006605995
fCN65_1,0.009480473,0.009480473,0.009480473,0.009480473,0.009480473,0.009480473
fCN80_1,0.018148455,0.018148455,0.018148455,0.018148455,0.018148455,0.018148455
fCN79_1,0.023146439,0.023146439,0.023146439,0.023146439,0.023146439,0.023146439
fCN74_1,0.051089332,0.051089332,0.051089332,0.051089332,0.051089332,0.051089332
fCN92_1,0.065111691,0.065111691,0.065111691,0.065111691,0.065111691,0.065111691
fCN70_1,0.203328454,0.203328454,0.203328454,0.203328454,0.203328454,0.203328454
fCN75_1,0.599486625,0.599486625,0.599486625,0.599486625,0.599486625,0.599486625
