time,UNIFORM,G1_Espildora1979,G2_Espildora1979,G3_Espildora1979,G1_Benitez1985,G2_Benitez1985,G3_Benitez1985,G1_Varas1985,G2_Varas1985,G3_Varas1985,G4_Varas1985,SCS_I24,SCS_IA24,SCS_II6,SCS_II12,SCS_II24,SCS_II48,SCS_III24
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,0.02,0.0095238095238095,0.0121904761904761,0.0141904761904761,0.0467854580265095,0.0130385684830633,0.0025292754050073,0.0363636377025037,0.0282070397643593,0.0257156701030927,0.022870736377025,0.00836,0.009600000000000001,0.00542,0.00518,0.004900000000000001,0.00476,0.0048000000000000004
0.04,0.04,0.028095238095238,0.0295380952380951,0.029285714285714103,0.09387394403534599,0.026398091310751,0.005559033873343,0.0751515169366716,0.056276053019145705,0.0517542268041236,0.0464943151693666,0.01672,0.02104,0.0109,0.010480000000000001,0.010060000000000001,0.01052,0.009600000000000001
0.06,0.06,0.053142857142857,0.0488714285714284,0.044514285714285506,0.1409697010309277,0.0401383298969071,0.0091241546391751,0.1157575773195876,0.08424154639175241,0.0779349484536081,0.0706825257731957,0.02518,0.034319999999999996,0.0163,0.01604,0.015439999999999999,0.01628,0.0144
0.08,0.08,0.08640999999999979,0.0709249999999998,0.06065499999999971,0.1877769720176729,0.054319045655375396,0.013259516936671401,0.1575757584683357,0.1121380265095727,0.1040771134020617,0.0952471575846831,0.033560000000000006,0.0486,0.0217,0.02164,0.02104,0.022040000000000004,0.019200000000000002
0.1,0.1,0.1239809523809521,0.095185714285714,0.07637619047619011,0.23399999999999982,0.0689999999999998,0.0179999999999998,0.19999999999999982,0.1399999999999997,0.1299999999999998,0.1199999999999997,0.0423,0.06380000000000001,0.0272,0.0273,0.0269,0.027800000000000005,0.0241
0.12,0.12000000000000001,0.1655047619047616,0.119833333333333,0.09237619047619011,0.27934302798232674,0.0842409543446242,0.0233804830633282,0.24242424153166403,0.1678619734904268,0.15552288659793792,0.1447528424153163,0.05159999999999999,0.07916000000000001,0.03276,0.033299999999999996,0.03294,0.03356,0.02938
0.14,0.14,0.2082428571428569,0.143285714285714,0.10875714285714251,0.32351029896907196,0.1001016701030925,0.0294358453608245,0.2842424226804121,0.19575845360824712,0.18046505154639153,0.1693174742268037,0.06162000000000001,0.09452000000000002,0.03864000000000001,0.03930000000000001,0.039240000000000004,0.03932000000000001,0.03502
0.16,0.16,0.2480999999999997,0.16419999999999968,0.1257666666666663,0.36620605596465367,0.11664190868924859,0.0362009661266566,0.3248484830633282,0.2237239469808539,0.20464577319587604,0.1935056848306328,0.07232000000000001,0.11056000000000002,0.04494000000000001,0.04544000000000001,0.04576,0.04508,0.04092
0.18,0.18,0.2845047619047615,0.182033333333333,0.1441809523809519,0.4071345419734902,0.1339214315169363,0.043710724594992305,0.363636362297496,0.2517929602356402,0.22788432989690685,0.2171292636229744,0.08357999999999999,0.12816,0.051500000000000004,0.05188,0.0526,0.05212,0.047259999999999996
